"method","mean_us","median_us","min_us","max_us","n_eval"
"probit_100",1283.38528,1240.022,1187.287,2927.824,50
"probit_500",2086.6099,1914.8025,1817.407,7785.24,50
"probit_1000",2851.52164,2574.151,2476.705,8750.433,50
