"method","mean_us","median_us","min_us","max_us","n_eval"
"kmeans_100",354.93886,316.405,288.827,1799.191,50
"kmeans_1000",1211.75778,1188.7715,950.457,2012.21,50
"kmeans_5000",5950.68604,5952.0905,3860.219,9472.594,50
