"method","mean_us","median_us","min_us","max_us","n_eval"
"hdfe_100",6414.14634,6370.407,5962.057,7240.634,50
"hdfe_1000",6953.38786,6844.6105,6337.626,8469.621,50
"hdfe_5000",17488.9382,16863.322,10972.122,39267.425,50
