"method","expr","mean_us","median_us","min_us","max_us","n_eval"
"select_10000","data.table",744.13859,694.814,558.234,4581.011,100
"select_10000","dplyr",1310.29768,1207.687,1026.952,8933.351,100
"select_1e+05","data.table",1653.08468,1203.62,1004.558,5102.903,100
"select_1e+05","dplyr",1241.51724,1203.6275,1046.364,1672.891,100
"select_1e+06","data.table",18286.53144,12379.446,4244.657,120251.84,100
"select_1e+06","dplyr",1376.53599,1350.512,1013.644,1954.083,100
