"method","mean_us","median_us","min_us","max_us","n_eval"
"mstl_100",2084.83235,1441.142,1291.432,12988.482,20
"mstl_200",1597.97015,1469.705,1392.636,2353.565,20
"mstl_500",1722.7111,1658.112,1576.226,2420.501,20
