"method","n","iterations","time_min_us","time_p25_us","time_median_us","time_p75_us","time_max_us","time_mean_us","time_std_us","itr_per_sec","mem_alloc_bytes"
"OLS",100,100,832.009944133461,868.76135901548,900.110055226833,997.224764432758,10036.7079721764,1078.67268263362,928.743912214788,1110.97525707342,477368
"OLS+HC1",100,100,2431.41804821789,2553.09481872246,2641.00852655247,2754.84280427918,40544.7230441496,3103.76369627193,3811.54742247476,378.643230397058,584592
"OLS",1000,100,995.239010080695,1058.04481427185,1119.38855843619,1261.33603043854,5632.07804225385,1204.8431369476,466.81124183901,893.344846580374,370648
"OLS+HC1",1000,100,4632.04912375659,5000.56534656323,5395.36355063319,6399.70754855312,10967.3590632156,5876.51434354484,1294.32849788075,185.344322141673,1059336
"OLS",10000,100,2773.46698567271,2893.41033203527,2982.2425567545,3249.34383388609,9016.12814050168,3623.82002640516,1409.50136744975,335.318130892839,3733528
"OLS+HC1",10000,100,26172.4139563739,27228.4112870693,29503.2919966616,31236.966868164,167438.062955625,30964.6432974841,14038.3875435014,33.8945226896427,10578216
"FE_plm",100,100,5399.70898535103,5737.17680526897,6018.60706228763,6356.62683635019,13947.7320481092,6249.46640571579,1063.5604904666,166.151401753067,1292424
"FE_lfe",100,100,6557.02501535416,6874.07230725512,7111.94647010416,7354.04249280691,13519.2199377343,7409.25337420776,1119.39367089255,140.608482389963,1672680
"HDFE",100,100,6648.47798179835,7042.00021573342,7318.64746194333,7937.25618859753,13316.5729930624,7895.6396819558,1435.48763425133,136.637268730317,82472
"FE_plm",1000,100,6704.45908326656,6929.0742976591,7136.75358565524,7496.08731712215,13282.0509606972,7373.43178712763,1068.0890124767,140.11973203194,1048800
"FE_lfe",1000,100,7908.60294364393,8390.95702394843,8658.73607108369,9343.38307706639,14179.8550030217,9177.15533520095,1346.20471309333,115.49029694294,531616
"HDFE",1000,100,7089.19111639261,7490.53779873066,7979.67100515962,10014.3922609277,12424.5419865474,8592.16381213628,1404.58548230983,125.318449764834,648312
"FE_plm",5000,100,12237.0369499549,12940.0917212479,13483.9684469625,16450.9889145847,170957.306982018,17549.9170506373,21228.6681818479,74.1621432839577,5084504
"FE_lfe",5000,100,14077.4591127411,14708.4268392064,15050.1761236228,16790.3431283776,23796.5970300138,16046.5777630452,2051.96352461649,66.444405154196,2656128
"HDFE",5000,100,8962.01503928751,9516.91751834005,12012.5280227512,12722.2725132015,18899.1910545155,11489.1522622202,2117.42659477844,83.2464239089426,3252432
"Logit",100,100,1220.71907389909,1304.48726122268,1378.1045563519,1457.29031646624,2319.15002223104,1431.39880616218,201.201636250792,725.634347111649,508040
"Probit",100,100,1455.90002648532,1520.67732415162,1578.91446724534,1667.42978035472,9181.64197355509,1701.05897355825,773.22848716384,633.346530635478,191456
"Logit",500,100,1796.03102151304,1895.38704580627,1959.70950881019,2049.99701236375,8297.13803250343,2164.99631642364,936.698205074544,510.279710081692,977304
"Probit",500,100,2241.76805932075,2329.71261721104,2357.11201094091,2431.28024158068,7625.25107711554,2550.51368498243,850.957789935485,424.247976064922,1046120
"Logit",1000,100,2500.39005186409,2607.6749782078,2677.75251995772,2874.07549330965,8711.3679619506,3022.15002826415,1180.94806151678,373.447505901624,1937400
"Probit",1000,100,3216.10609535128,3350.05976376124,3525.14506084844,3982.64281102456,11133.2630040124,4042.21784207039,1413.91125661573,283.676269412674,2074216
"K-Means",100,100,650.815083645284,734.497531084344,948.048022110015,1020.63579834066,1438.3050147444,938.316434621811,190.804794283594,1054.79888853558,225008
"PCA",100,100,137.253082357347,228.335353313014,238.784588873386,264.306290773675,7345.05208674818,320.586528396234,713.419909580746,4187.87495758465,134672
"K-Means",1000,100,3899.47602525353,4213.36750150658,4487.0235142298,5456.67725964449,11666.9150302187,4883.1734713167,1099.46882183948,222.864889570709,678344
"PCA",1000,100,310.859060846269,323.765765642747,347.66603494063,382.681289920583,4597.57703356445,417.597353225574,429.328765337647,2876.32353896971,284088
"K-Means",5000,100,17772.656166926,19639.237318188,20812.8425874747,23061.3630847074,31574.719119817,21787.7365765162,3059.1041791058,48.0472571585106,3343688
"PCA",5000,100,1202.43313722312,1247.28106311522,1280.43000586331,1360.97002541646,6414.4100761041,1522.9618048761,884.742584278101,780.98763338943,1404088
