"method","mean_us","median_us","min_us","max_us","n_eval"
"logit_100",1143.39596,1088.991,1035.078,3180.376,50
"logit_500",1676.71652,1529.942,1458.221,7449.616,50
"logit_1000",2404.9733,2117.822,2024.937,8688.54,50
