"method","expr","mean_us","median_us","min_us","max_us","n_eval"
"regex_count_10000","stringi",12777.75962,12821.1415,11669.644,14862.619,100
"regex_count_10000","stringr",12745.34118,12743.2085,11837.544,14128.537,100
"regex_count_10000","base_r",42582.71686,41320.6105,24251.841,102875.989,100
"regex_count_1e+05","stringi",121751.23252,121178.6805,119120.263,157831.215,100
"regex_count_1e+05","stringr",122360.94061,121434.7635,118925.362,157859.933,100
"regex_count_1e+05","base_r",811335.04034,777175.216,611243.289,1258683.028,100
