"method","mean_ms","median_ms","min_ms","max_ms","n_eval"
"mediation_200",415.4103631,416.399568,408.222039,423.609539,10
"mediation_500",567.6112499,557.1341805,549.082839,664.024061,10
"mediation_1000",850.2334203,842.1799635,815.976978,956.599919,10
