"method","mean_us","median_us","min_us","max_us","n_eval"
"fe_plm_100",5167.47384,4990.8795,4470.738,10283.681,50
"fe_lfe_100",9268.5925,8206.3935,5925.293,15614.417,50
"fe_plm_1000",6438.4714,6431.1625,5484.04,11798.743,50
"fe_lfe_1000",8122.73394,7972.028,7320.656,9771.789,50
"fe_plm_5000",12014.37832,11123.886,10484.407,24192.474,50
"fe_lfe_5000",32314.9185,29852.9045,20863.154,57893.242,50
