"method","mean_us","median_us","min_us","max_us","n_eval"
"changepoint_100",537.08185,320.0335,297.786,4342.793,20
"changepoint_500",401.2339,363.0125,335.157,947.593,20
"changepoint_1000",532.41175,488.1825,452.512,1095.453,20
