"method","mean_us","median_us","min_us","max_us","n_eval"
"ols_standard_100",757.13207,690.3955,654.818,2841.319,100
"ols_standard_1000",1110.87076,1173.2905,825.08,1471.549,100
"ols_standard_10000",2426.93596,2095.8335,1959.302,4808.253,100
