"method","mean_us","median_us","min_us","max_us","n_eval"
"dbscan_100",331.22548,105.1955,96.421,11078.597,50
"dbscan_500",2307.17856,2299.5925,2243.579,2589.157,50
"dbscan_1000",10393.51486,9637.6845,9519.417,18493.629,50
