"method","mean_us","median_us","min_us","max_us","n_eval"
"arima_100",2864.9871,2626.5825,2495.351,7243.247,20
"arima_200",2901.653,2809.5915,2735.664,4123.772,20
"arima_500",4343.95205,4287.791,4147.775,5191.724,20
