"method","mean_us","median_us","min_us","max_us","n_eval"
"pca_100",389.36442,142.7435,135.859,11933.828,50
"pca_1000",435.89216,419.075,401.606,1016.531,50
"pca_5000",6083.81138,4995.012,1938.64,21906.093,50
