"method","expr","mean_us","median_us","min_us","max_us","n_eval"
"concat_10000","stringi",1208.80165,1208.2395,1197.564,1252.745,100
"concat_10000","stringr",1241.66348,1235.929,1223.764,1462.855,100
"concat_10000","base_r",1674.62348,1675.2705,1648.007,1742.449,100
"concat_1e+05","stringi",12812.34109,12320.525,11918.713,52397.526,100
"concat_1e+05","stringr",12535.80421,12396.4595,12027.966,13944.28,100
"concat_1e+05","base_r",17447.42406,16620.0725,16399.72,57653.965,100
