"method","expr","mean_us","median_us","min_us","max_us","n_eval"
"length_10000","stringi",110.96775,106.499,101.843,327.256,100
"length_10000","stringr",110.22146,109.2075,102.841,136.928,100
"length_10000","base_r",719.66357,715.462,701.097,1027.011,100
"length_1e+05","stringi",2525.35443,2215.9615,1946.433,30587.988,100
"length_1e+05","stringr",2217.59199,2194.3235,1916.468,2794.562,100
"length_1e+05","base_r",10459.02702,10359.9335,9708.963,12258.299,100
