"method","expr","mean_us","median_us","min_us","max_us","n_eval"
"left_join_10000","data.table",1844.2432,1747.8965,1487.152,6314.733,100
"left_join_10000","dplyr",2234.65819,2121.5275,1909.733,7064.745,100
"left_join_1e+05","data.table",6770.92798,6403.6905,5703.465,12467.63,100
"left_join_1e+05","dplyr",7325.39716,6767.469,6232.841,13071.846,100
"left_join_1e+06","data.table",101193.29162,80951.5325,66589.652,234665.695,100
"left_join_1e+06","dplyr",104522.21685,82733.8925,69254.267,224835.427,100
