"method","expr","mean_us","median_us","min_us","max_us","n_eval"
"regex_extract_10000","stringi",5194.44396,5245.9235,4474.101,8310.678,100
"regex_extract_10000","stringr",5355.97094,5360.172,4527.616,7338.789,100
"regex_extract_10000","base_r",93517.13761,95022.952,75636.263,282608.801,100
"regex_extract_1e+05","stringi",47732.83463,47513.137,45959.205,51986.139,100
"regex_extract_1e+05","stringr",47653.37899,47343.282,46169.92,52120.776,100
"regex_extract_1e+05","base_r",1196162.79587,1178221.708,974447.866,1548676.459,100
