"method","expr","mean_us","median_us","min_us","max_us","n_eval"
"split_10000","stringi",5373.55713,5233.519,4254.296,7020.861,100
"split_10000","stringr",5526.32699,5270.0395,4379.846,8459.144,100
"split_10000","base_r",7562.93142,7110.7425,6232.333,23563.32,100
"split_1e+05","stringi",91749.13507,87078.449,82791.688,205299.515,100
"split_1e+05","stringr",90287.89189,87521.4425,82889.214,152317.605,100
"split_1e+05","base_r",116570.44138,102215.228,96757.583,438212.338,100
