"method","mean_ms","median_ms","min_ms","max_ms","n_eval"
"ipw_200",160.3109577,158.0367495,155.887505,179.77407,10
"ipw_500",206.4900216,206.274499,203.610592,209.222567,10
"ipw_1000",303.78528,293.602078,287.418042,401.134404,10
"ipw_2000",483.4339429,473.414676,463.550204,573.487142,10
