"method","expr","mean_us","median_us","min_us","max_us","n_eval"
"trim_10000","stringi",2098.00291,1848.5385,1470.419,4855.647,100
"trim_10000","stringr",2291.19852,2097.937,1611.292,6028.73,100
"trim_10000","base_r",7683.10624,7385.5915,6266.084,12877.002,100
"trim_1e+05","stringi",32319.66024,31822.103,27047.373,85095.23,100
"trim_1e+05","stringr",33087.53652,32120.6365,27352.642,129799.877,100
"trim_1e+05","base_r",97698.04072,94882.766,88478.708,166914.204,100
