"method","mean_us","median_us","min_us","max_us","n_eval"
"HC0",4119.10035,3848.876,3671.365,7122.258,100
"HC1",3933.30786,3844.6735,3679.638,6648.577,100
"HC2",3884.05418,3811.3695,3668.634,6193.324,100
"HC3",4037.99221,3930.5905,3653.968,6563.644,100
