"method","n","iterations","time_min_us","time_p25_us","time_median_us","time_p75_us","time_max_us","time_mean_us","time_std_us","itr_per_sec","mem_alloc_bytes"
"OLS",100,100,692.526926286519,727.475446183234,812.404439784586,1616.58023716882,16357.0250151679,1273.30006798729,1600.90238544866,1230.91400173189,479392
"OLS+HC1",100,100,2076.98985468596,2163.15392754041,2279.44587823004,2484.03937439434,40894.4078953937,2888.52033670992,3920.67571265599,438.703111817899,583776
"OLS",1000,100,804.755138233304,859.128980664536,963.163038250059,1079.82358895242,6638.80712818354,1095.67082719877,625.495936025382,1038.24582161798,370648
"OLS+HC1",1000,100,3849.88298173994,4016.26279926859,4112.66251467168,4377.68976553343,10820.3160343692,4439.10371745005,1109.36431179877,243.151485548002,1059336
"OLS",10000,100,2033.80594030023,2103.60309574753,2180.57603342459,2362.53123148344,7449.96697176248,2808.21736203507,1404.85530708777,458.594419397293,3733528
"OLS+HC1",10000,100,22103.067021817,22806.5355040599,25224.3076101877,26368.0937932804,164278.732030652,26241.789967753,14133.486275034,39.6442992788479,10578216
"FE_plm",100,100,4347.54614252597,4652.504081605,4900.98010050133,5314.94730967097,11826.7320794985,5134.98790212907,864.777583081246,204.040820304026,1299088
"FE_lfe",100,100,5578.09392921627,5983.43295860104,6282.03147789463,8248.95693222061,20858.9719841257,7767.99289742485,2901.55096185854,159.184175297247,1650456
"HDFE",100,100,5822.68286962062,6046.68393498287,6214.9849254638,6506.63368287496,13716.0369195044,6542.1241754666,1170.52495653043,160.901436124622,77480
"FE_plm",1000,100,5758.85700527579,6096.8897305429,6387.96098064631,6984.73272495903,14684.1650130227,6861.4797538612,1453.64691709683,156.544475307491,1038536
"FE_lfe",1000,100,7133.52905586362,7411.39659658074,7564.17663069442,7735.10301951319,13276.7690811306,7700.12973225676,796.638874188083,132.202095326824,518768
"HDFE",1000,100,5792.48310532421,6094.27771996707,6287.87901951,6529.70370720141,11521.7979764566,6484.28085027263,879.396987350805,159.036138719782,598488
"FE_plm",5000,100,10614.0970019624,11053.9860033896,11296.0384576581,11642.4002626445,162247.853004374,13402.0921611227,15130.2037275592,88.526610789117,5069824
"FE_lfe",5000,100,23934.0140251443,27188.8237039093,31467.0345396735,42010.2353964467,85816.3739321753,35789.169324562,12052.6103200045,31.7792894891066,2594480
"HDFE",5000,100,7700.38494374603,16915.5787152704,26657.3270200752,30522.1250164323,89608.2619437948,25043.4342550579,10964.767136535,37.5131384795976,3009840
"Logit",100,100,993.488007225096,1038.84580312297,1058.41149343178,1091.3364822045,8876.49494688958,1232.6473230496,839.954407843889,944.812113441452,505456
"Probit",100,100,1250.43094158173,1305.09582231753,1343.64701807499,1375.37129921839,8952.35210191458,1439.83859801665,774.302257445457,744.243083598456,191440
"Logit",500,100,1467.08590909839,1533.15541683696,1598.77742407843,1698.16217385232,8751.84894539416,1818.4445949737,1040.02854396469,625.477933913421,977304
"Probit",500,100,1863.21104411036,1990.47772912309,2072.80647009611,2166.66996129788,8428.06696891785,2351.19167831726,1182.87187056548,482.437706764603,1046120
"Logit",1000,100,2029.60101887584,2120.46728120185,2175.8375223726,2318.80345381796,13460.6120409444,2606.07308708131,1536.28078348302,459.593140442567,1937400
"Probit",1000,100,2636.90704014152,2692.97158229165,2759.98754659668,2865.57027720846,136227.926122956,4364.11320464686,13358.7673499425,362.320475406889,2074216
"ARIMA",100,20,2602.9139989987,2687.06932547502,2774.19650228694,2948.06831516325,3277.22600195557,2833.01103045233,180.67293095469,360.464732464207,1048280
"MSTL",100,20,1344.0769398585,1403.46025000326,1451.0250184685,1506.61874795333,1914.34205044061,1474.96543941088,123.777010812451,689.16799315801,232080
"ARIMA",200,20,2554.55716978759,2591.82305308059,2713.59510952607,2764.29811492562,3007.04909022897,2701.9340894185,126.754738337082,368.514815084057,236232
"MSTL",200,20,1447.62697163969,1488.95650636405,1530.47242201865,1559.80550334789,1923.399977386,1548.80307964049,106.338344870139,653.393021405136,163216
"ARIMA",500,20,4412.84105181694,4575.41897776537,4782.82145923004,4838.4656838607,10949.295014143,5020.54379903711,1407.65314582296,209.081607692081,597808
"MSTL",500,20,1718.18491071463,1812.50873720273,1853.17848809063,1889.74142656662,2142.55496393889,1869.87515771762,108.252151912342,539.613429805307,398544
"K-Means",100,100,331.926974467933,351.966009475291,366.270600352436,401.716300984845,6792.42901969701,447.010973002762,642.586901554056,2730.22186066195,187816
"PCA",100,100,104.452134110034,108.880078187212,111.451139673591,115.263159386814,323.963118717074,117.00363480486,24.1045689396863,8972.54171584715,134632
"K-Means",1000,100,1013.62401619554,1188.91298188828,1274.39998323098,1424.63878728449,7483.26897155493,1420.59512785636,839.48271595083,784.682998397965,657536
"PCA",1000,100,217.854045331478,234.153034398332,246.333016548306,335.264252498746,6597.92602527887,340.066308854148,635.295211370639,4059.5451393902,284088
"K-Means",5000,100,3650.94502922148,4860.80619157292,5585.90743457898,6677.15744930319,202644.020086154,8057.62692005374,19738.9856209786,179.021942578139,3290880
"PCA",5000,100,748.587073758245,769.305333960801,797.117128968239,856.897648191079,6151.7630238086,1003.9336560294,855.498686428029,1254.52077700848,1404088
