"method","mean_us","median_us","min_us","max_us","n_eval"
"hierarchical_50",117.57908,109.355,102.254,331.765,50
"hierarchical_100",379.41382,373.2455,345.753,630.093,50
"hierarchical_200",1297.88054,1292.2255,1231.898,1578.122,50
