"method","n","iterations","time_min_us","time_p25_us","time_median_us","time_p75_us","time_max_us","time_mean_us","time_std_us","itr_per_sec","mem_alloc_bytes"
"OLS",10000,100,2150.70100966841,2299.29178021848,2478.2320833765,3889.33750218712,202936.384011991,5815.87490392849,20220.2742620003,403.513458932199,4224520
"OLS+HC1",10000,100,23545.4051289707,25755.3110423032,29751.8640873022,34308.5863278247,233279.522159137,32761.7234992795,21231.7901108793,33.6113393455165,11049424
"FE_plm",10000,100,17763.8939348981,18426.201218972,19303.974986542,23920.8888087887,242470.143944956,25161.0744802747,29477.771904534,51.8028023087038,11303200
"Logit",10000,100,19935.4239739478,29843.495489331,34954.7719815746,49794.9184500612,223447.805969045,45616.6877120268,31301.1399962512,28.6083971747011,19753696
"ARIMA",10000,20,26396.7660721391,27149.5100168977,29205.498052761,32482.9567980487,235148.121020757,40546.0406152997,46030.2669080899,34.2401282865801,13845144
"MSTL",10000,20,7046.32711131126,7371.55525712296,7604.08950736746,8448.28700064681,13776.2799859047,8739.93826680817,2322.11868654939,131.508183725496,8041248
"K-Means",10000,100,7525.23785922676,10607.4036157224,13483.7199584581,16879.1794276331,220327.705843374,17725.5223505199,28259.6045749274,74.1635100017572,6805280
"PCA",10000,100,1427.59701702744,1518.06249050424,1614.36898633838,1851.26444557682,8822.30803836137,2336.50201233104,1739.8265586831,619.437073223356,2906632
